date,actual,day-ahead,intraday,installed_capacity_mw,zone,capacity_factor,hour,shortwave_radiation,direct_radiation,diffuse_radiation,temperature_2m,apparent_temperature,cloudcover,dewpoint_2m,precipitation,windspeed_10m,windgusts_10m,winddirection_10m,surface_pressure,relativehumidity_2m
2015-12-31 23:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,23,0.0,0.0,0.0,11.7,11.7,23,10.7,0.0,1.8,9.4,233,1022.0,94
2016-01-01 00:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,0,0.0,0.0,0.0,11.1,11.0,54,10.6,0.0,2.2,7.2,180,1021.7,97
2016-01-01 01:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,1,0.0,0.0,0.0,9.8,9.4,77,9.7,0.0,2.5,6.8,172,1021.3,100
2016-01-01 02:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,2,0.0,0.0,0.0,8.8,8.1,96,8.8,0.0,2.7,6.5,157,1021.1,100
2016-01-01 03:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,3,0.0,0.0,0.0,8.7,8.1,99,8.7,0.0,2.1,6.5,121,1021.3,100
2016-01-01 04:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,4,0.0,0.0,0.0,8.8,8.2,99,8.7,0.0,1.8,6.1,79,1020.8,99
2016-01-01 05:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,5,0.0,0.0,0.0,9.3,8.6,99,8.9,0.0,2.9,6.1,83,1020.6,98
2016-01-01 06:00:00+00:00,1.0,6.0,,888.75,IT-SARD,0.0011251758087201125,6,0.0,0.0,0.0,9.8,9.1,92,9.2,0.0,4.0,6.8,95,1020.5,96
2016-01-01 07:00:00+00:00,54.0,48.0,,888.75,IT-SARD,0.060759493670886074,7,0.0,0.0,0.0,10.3,9.5,88,9.5,0.0,4.8,7.9,103,1020.5,94
2016-01-01 08:00:00+00:00,174.0,117.0,,888.75,IT-SARD,0.19578059071729959,8,0.0,0.0,0.0,9.7,8.9,69,9.0,0.4,3.9,8.3,112,1020.8,96
2016-01-01 09:00:00+00:00,217.0,168.0,,888.75,IT-SARD,0.24416315049226442,9,38.0,12.0,26.0,10.3,9.3,88,9.6,0.0,6.2,10.8,111,1021.2,95
2016-01-01 10:00:00+00:00,233.0,197.0,,888.75,IT-SARD,0.2621659634317862,10,88.0,27.0,61.0,12.0,11.3,82,10.6,0.3,6.8,13.3,122,1021.4,91
2016-01-01 11:00:00+00:00,264.0,208.0,,888.75,IT-SARD,0.2970464135021097,11,182.0,87.0,95.0,13.3,12.7,89,10.9,0.0,6.1,16.6,135,1021.8,85
2016-01-01 12:00:00+00:00,294.0,196.0,,888.75,IT-SARD,0.3308016877637131,12,256.0,149.0,107.0,14.1,13.6,82,10.9,0.0,5.8,18.0,173,1021.5,81
2016-01-01 13:00:00+00:00,291.0,136.0,,888.75,IT-SARD,0.32742616033755273,13,246.0,119.0,127.0,14.5,13.9,100,11.1,0.0,6.6,19.1,193,1020.4,80
2016-01-01 14:00:00+00:00,199.0,62.0,,888.75,IT-SARD,0.2239099859353024,14,262.0,129.0,133.0,15.0,14.4,100,11.2,0.0,6.9,20.9,208,1019.9,78
2016-01-01 15:00:00+00:00,34.0,8.0,,888.75,IT-SARD,0.03825597749648382,15,163.0,62.0,101.0,14.9,14.5,100,11.4,0.0,6.0,20.9,213,1019.7,80
2016-01-01 16:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,16,86.0,15.0,71.0,14.6,14.5,100,11.7,0.0,4.9,16.6,216,1019.4,83
2016-01-01 17:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,17,37.0,8.0,29.0,14.4,14.3,98,11.4,0.0,3.6,11.9,186,1019.4,82
2016-01-01 18:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,18,0.0,0.0,0.0,13.9,13.8,89,11.8,0.0,4.7,7.6,184,1019.4,87
2016-01-01 19:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,19,0.0,0.0,0.0,13.3,13.1,79,12.0,0.0,5.8,7.9,180,1019.7,92
2016-01-01 20:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,20,0.0,0.0,0.0,12.7,12.4,86,11.8,0.0,5.8,9.4,173,1019.6,94
2016-01-01 21:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,21,0.0,0.0,0.0,12.2,11.8,59,11.5,0.0,6.2,9.0,170,1019.8,96
2016-01-01 22:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,22,0.0,0.0,0.0,11.7,11.1,61,11.3,0.0,6.7,9.7,164,1019.5,98
2016-01-01 23:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,23,0.0,0.0,0.0,10.9,10.2,91,10.8,0.0,6.4,10.4,153,1019.0,99
2016-01-02 00:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,0,0.0,0.0,0.0,10.7,10.1,99,10.6,0.0,5.7,10.8,145,1018.6,99
2016-01-02 01:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,1,0.0,0.0,0.0,11.1,10.6,86,10.9,0.0,5.5,11.9,148,1018.1,98
2016-01-02 02:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,2,0.0,0.0,0.0,11.4,11.0,73,11.3,0.0,5.5,12.2,148,1017.8,100
2016-01-02 03:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,3,0.0,0.0,0.0,11.2,10.5,51,11.2,0.0,7.4,11.9,157,1017.5,100
2016-01-02 04:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,4,0.0,0.0,0.0,11.5,10.8,56,11.4,0.0,7.6,11.9,161,1017.1,100
2016-01-02 05:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,5,0.0,0.0,0.0,11.7,11.1,47,11.6,0.0,7.3,13.0,169,1016.5,99
2016-01-02 06:00:00+00:00,10.0,7.0,,888.75,IT-SARD,0.011251758087201125,6,0.0,0.0,0.0,11.3,10.5,88,11.1,0.0,7.8,13.0,167,1016.1,99
2016-01-02 07:00:00+00:00,87.0,62.0,,888.75,IT-SARD,0.09789029535864979,7,0.0,0.0,0.0,11.1,10.3,86,11.1,0.0,8.3,13.0,178,1016.0,100
2016-01-02 08:00:00+00:00,202.0,140.0,,888.75,IT-SARD,0.22728551336146272,8,1.0,0.0,1.0,11.5,10.8,89,11.4,0.0,7.4,15.8,194,1016.2,99
2016-01-02 09:00:00+00:00,285.0,193.0,,888.75,IT-SARD,0.3206751054852321,9,67.0,33.0,34.0,12.2,12.0,81,12.1,0.0,6.1,14.4,180,1016.3,99
2016-01-02 10:00:00+00:00,329.0,211.0,,888.75,IT-SARD,0.370182841068917,10,203.0,138.0,65.0,13.3,13.2,54,13.0,0.0,7.2,16.2,180,1016.2,98
2016-01-02 11:00:00+00:00,319.0,186.0,,888.75,IT-SARD,0.3589310829817159,11,323.0,238.0,85.0,14.3,13.8,29,13.0,0.0,10.2,22.7,203,1015.7,92
2016-01-02 12:00:00+00:00,277.0,146.0,,888.75,IT-SARD,0.31167369901547115,12,392.0,285.0,107.0,15.8,14.7,49,12.8,0.0,14.0,30.6,226,1015.3,83
2016-01-02 13:00:00+00:00,191.0,107.0,,888.75,IT-SARD,0.21490857946554148,13,442.0,345.0,97.0,16.8,14.9,96,12.5,0.0,18.5,38.2,246,1014.4,76
2016-01-02 14:00:00+00:00,96.0,59.0,,888.75,IT-SARD,0.1080168776371308,14,387.0,269.0,118.0,17.3,14.7,77,12.1,0.0,22.2,42.5,257,1013.8,72
2016-01-02 15:00:00+00:00,15.0,9.0,,888.75,IT-SARD,0.016877637130801686,15,275.0,150.0,125.0,17.2,14.1,49,11.4,0.0,24.2,46.4,266,1013.4,69
2016-01-02 16:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,16,162.0,71.0,91.0,16.6,14.1,33,11.3,0.0,20.5,47.2,268,1013.1,71
2016-01-02 17:00:00+00:00,0.0,0.0,,888.75,IT-SARD,0.0,17,49.0,17.0,32.0,15.9,14.0,27,11.7,0.0,16.7,41.8,264,1012.8,76
