date,actual,day-ahead,intraday,installed_capacity_mw,zone,capacity_factor,hour,shortwave_radiation,direct_radiation,diffuse_radiation,temperature_2m,apparent_temperature,cloudcover,dewpoint_2m,precipitation,windspeed_10m,windgusts_10m,winddirection_10m,surface_pressure,relativehumidity_2m
2021-01-01 00:00:00+00:00,0.0,0.0,0.0,349.1562500000009,IT-CALA,0.0,0,0.0,0.0,0.0,6.6,3.4,36,4.8,0.1,13.0,29.9,312,978.7,88
2021-01-01 01:00:00+00:00,0.0,0.0,0.0,349.1562500000009,IT-CALA,0.0,1,0.0,0.0,0.0,6.0,3.0,9,4.2,0.0,10.8,32.4,300,977.9,88
2021-01-01 02:00:00+00:00,0.0,0.0,0.0,349.1562500000009,IT-CALA,0.0,2,0.0,0.0,0.0,6.0,3.0,13,4.1,0.0,10.5,25.9,301,978.2,88
2021-01-01 03:00:00+00:00,0.0,0.0,0.0,349.1562500000009,IT-CALA,0.0,3,0.0,0.0,0.0,6.0,3.0,6,4.4,0.0,10.9,26.3,297,978.4,90
2021-01-01 04:00:00+00:00,0.0,0.0,0.0,349.1562500000009,IT-CALA,0.0,4,0.0,0.0,0.0,5.9,2.9,8,4.6,0.0,11.4,26.6,298,978.4,92
2021-01-01 05:00:00+00:00,0.0,0.0,0.0,349.1562500000009,IT-CALA,0.0,5,0.0,0.0,0.0,5.9,2.8,10,5.0,0.0,12.7,29.2,299,978.4,94
2021-01-01 06:00:00+00:00,7.0,0.0,0.0,349.1562500000009,IT-CALA,0.0200483307974581,6,0.0,0.0,0.0,5.9,2.9,21,5.1,0.0,12.2,29.5,304,978.6,95
2021-01-01 07:00:00+00:00,60.0,52.0,53.0,349.1562500000009,IT-CALA,0.1718428354067837,7,0.0,0.0,0.0,5.7,3.1,30,4.8,0.0,8.7,28.1,308,978.9,94
2021-01-01 08:00:00+00:00,117.0,122.0,122.0,349.1562500000009,IT-CALA,0.3350935290432283,8,23.0,10.0,13.0,5.7,3.5,11,4.6,0.0,6.4,20.2,322,979.2,92
2021-01-01 09:00:00+00:00,90.0,165.0,166.0,349.1562500000009,IT-CALA,0.2577642531101756,9,138.0,79.0,59.0,7.9,6.3,7,5.9,0.0,4.1,14.8,308,980.0,87
2021-01-01 10:00:00+00:00,153.0,183.0,185.0,349.1562500000009,IT-CALA,0.4381992302872986,10,277.0,202.0,75.0,9.9,8.9,3,6.8,0.0,1.6,12.6,297,980.3,81
2021-01-01 11:00:00+00:00,202.0,184.0,186.0,349.1562500000009,IT-CALA,0.5785375458695053,11,386.0,301.0,85.0,11.1,9.7,3,6.1,0.0,2.3,11.5,129,980.0,72
2021-01-01 12:00:00+00:00,155.0,168.0,169.0,349.1562500000009,IT-CALA,0.443927324800858,12,444.0,357.0,87.0,11.6,9.4,24,5.9,0.0,7.5,21.6,125,979.4,68
2021-01-01 13:00:00+00:00,106.0,134.0,134.0,349.1562500000009,IT-CALA,0.3035890092186513,13,435.0,346.0,89.0,11.4,8.8,35,6.0,0.0,10.4,25.6,104,978.8,69
2021-01-01 14:00:00+00:00,63.0,76.0,75.0,349.1562500000009,IT-CALA,0.1804349771771229,14,375.0,288.0,87.0,11.3,8.5,14,6.2,0.0,12.3,30.2,95,978.3,71
2021-01-01 15:00:00+00:00,8.0,14.0,14.0,349.1562500000009,IT-CALA,0.0229123780542378,15,273.0,202.0,71.0,10.9,8.1,14,6.3,0.0,12.7,31.3,97,978.1,74
2021-01-01 16:00:00+00:00,0.0,0.0,0.0,349.1562500000009,IT-CALA,0.0,16,131.0,79.0,52.0,10.2,7.9,11,6.7,0.0,9.7,30.2,86,977.9,79
2021-01-01 17:00:00+00:00,0.0,0.0,0.0,349.1562500000009,IT-CALA,0.0,17,18.0,8.0,10.0,8.7,6.7,4,6.5,0.0,7.2,21.6,87,977.8,86
2021-01-01 18:00:00+00:00,0.0,0.0,0.0,349.1562500000009,IT-CALA,0.0,18,0.0,0.0,0.0,8.3,6.3,4,6.2,0.0,7.2,15.5,84,978.1,87
2021-01-01 19:00:00+00:00,0.0,0.0,0.0,349.1562500000009,IT-CALA,0.0,19,0.0,0.0,0.0,8.0,5.7,12,6.0,0.0,8.4,17.3,70,978.5,87
