datetime,date,hour,shortwave_radiation,direct_radiation,diffuse_radiation,temperature_2m,apparent_temperature,cloudcover,dewpoint_2m,precipitation,windspeed_10m,windgusts_10m,winddirection_10m,surface_pressure,relativehumidity_2m
2025-10-27 00:00:00,2025-10-27,0,0.0,0.0,0.0,19.3,18.3,92,14.5,0.0,16.9,31.0,270,972.0,74
2025-10-27 01:00:00,2025-10-27,1,0.0,0.0,0.0,19.2,18.1,63,14.7,0.0,18.0,30.6,282,971.6,75
2025-10-27 02:00:00,2025-10-27,2,0.0,0.0,0.0,19.4,18.6,100,14.8,0.0,15.9,32.4,275,971.7,75
2025-10-27 03:00:00,2025-10-27,3,0.0,0.0,0.0,19.0,17.2,100,12.9,0.0,18.5,33.5,278,971.7,68
2025-10-27 04:00:00,2025-10-27,4,0.0,0.0,0.0,19.0,15.5,100,10.6,0.0,25.3,44.6,290,971.7,58
2025-10-27 05:00:00,2025-10-27,5,0.0,0.0,0.0,18.3,15.7,100,12.3,0.0,22.7,51.1,281,971.4,68
2025-10-27 06:00:00,2025-10-27,6,0.0,0.0,0.0,17.5,16.0,100,14.5,0.1,20.2,41.8,259,972.2,83
2025-10-27 07:00:00,2025-10-27,7,13.0,2.0,11.0,17.7,16.7,65,14.0,0.3,15.6,37.4,263,972.1,79
2025-10-27 08:00:00,2025-10-27,8,144.0,72.0,72.0,18.1,16.0,87,12.6,0.0,19.7,37.1,285,972.8,70
2025-10-27 09:00:00,2025-10-27,9,339.0,232.0,107.0,18.4,15.9,94,11.4,0.0,20.0,37.1,288,973.9,64
2025-10-27 10:00:00,2025-10-27,10,487.0,361.0,126.0,18.8,15.3,19,9.3,0.0,22.9,41.8,303,974.5,54
2025-10-27 11:00:00,2025-10-27,11,605.0,502.0,103.0,19.1,14.9,0,5.9,0.0,23.7,44.3,296,975.3,42
2025-10-27 12:00:00,2025-10-27,12,653.0,568.0,85.0,18.9,14.9,12,7.7,0.0,26.8,50.8,290,975.0,48
2025-10-27 13:00:00,2025-10-27,13,629.0,525.0,104.0,18.8,14.5,22,7.3,0.0,27.4,52.2,289,975.2,47
2025-10-27 14:00:00,2025-10-27,14,520.0,400.0,120.0,18.4,14.4,13,7.8,0.0,23.5,52.2,288,975.2,50
2025-10-27 15:00:00,2025-10-27,15,390.0,304.0,86.0,18.1,14.2,2,7.5,0.0,22.4,43.9,285,975.4,50
2025-10-27 16:00:00,2025-10-27,16,222.0,163.0,59.0,17.3,13.7,0,7.4,0.0,20.3,41.4,282,975.4,52
2025-10-27 17:00:00,2025-10-27,17,52.0,27.0,25.0,16.1,13.5,2,8.5,0.0,14.9,36.7,285,975.3,61
2025-10-27 18:00:00,2025-10-27,18,0.0,0.0,0.0,15.4,13.2,4,7.9,0.0,11.7,26.3,288,975.9,61
2025-10-27 19:00:00,2025-10-27,19,0.0,0.0,0.0,15.0,13.0,8,8.0,0.0,10.0,20.9,285,975.9,63
2025-10-27 20:00:00,2025-10-27,20,0.0,0.0,0.0,14.9,12.6,3,7.9,0.0,12.0,20.9,286,976.1,63
2025-10-27 21:00:00,2025-10-27,21,0.0,0.0,0.0,14.8,12.0,100,7.6,0.0,14.8,25.9,296,976.2,62
2025-10-27 22:00:00,2025-10-27,22,0.0,0.0,0.0,15.1,12.6,100,8.3,0.0,14.2,27.4,291,976.1,64
2025-10-27 23:00:00,2025-10-27,23,0.0,0.0,0.0,15.6,13.1,100,9.2,0.0,15.2,28.4,284,976.3,66
2025-10-28 00:00:00,2025-10-28,0,0.0,0.0,0.0,15.5,12.7,56,9.6,0.0,18.4,32.4,282,975.9,68
2025-10-28 01:00:00,2025-10-28,1,0.0,0.0,0.0,15.8,13.3,80,9.9,0.0,16.9,32.8,286,975.9,68
2025-10-28 02:00:00,2025-10-28,2,0.0,0.0,0.0,15.9,12.6,100,10.7,0.0,23.8,44.3,285,975.8,71
2025-10-28 03:00:00,2025-10-28,3,0.0,0.0,0.0,15.7,12.3,100,9.8,0.0,23.0,45.0,290,975.9,68
2025-10-28 04:00:00,2025-10-28,4,0.0,0.0,0.0,15.8,13.1,100,11.1,0.0,20.3,41.0,277,975.8,74
2025-10-28 05:00:00,2025-10-28,5,0.0,0.0,0.0,16.1,13.6,100,10.4,0.0,18.3,38.2,280,975.8,69
2025-10-28 06:00:00,2025-10-28,6,0.0,0.0,0.0,16.3,13.8,87,10.6,0.0,18.4,34.2,281,976.2,69
2025-10-28 07:00:00,2025-10-28,7,25.0,8.0,17.0,16.6,14.3,28,10.9,0.0,17.3,33.8,282,976.9,69
2025-10-28 08:00:00,2025-10-28,8,168.0,99.0,69.0,17.8,15.7,33,11.8,0.0,18.1,32.4,276,978.2,68
2025-10-28 09:00:00,2025-10-28,9,345.0,252.0,93.0,19.3,16.8,32,12.0,0.0,21.0,39.6,282,978.8,63
2025-10-28 10:00:00,2025-10-28,10,490.0,386.0,104.0,20.2,17.7,20,12.4,0.0,22.5,42.8,276,979.3,61
2025-10-28 11:00:00,2025-10-28,11,576.0,477.0,99.0,21.2,19.1,45,12.3,0.0,19.8,42.1,271,979.8,57
2025-10-28 12:00:00,2025-10-28,12,530.0,403.0,127.0,21.5,20.1,76,11.8,0.0,13.3,36.7,268,979.8,54
2025-10-28 13:00:00,2025-10-28,13,433.0,290.0,143.0,21.1,20.1,91,12.2,0.0,11.6,20.9,248,979.9,57
2025-10-28 14:00:00,2025-10-28,14,330.0,199.0,131.0,20.0,19.4,74,13.6,0.0,11.8,24.1,230,980.3,67
2025-10-28 15:00:00,2025-10-28,15,245.0,138.0,107.0,19.0,19.6,71,14.5,0.0,5.9,22.0,194,980.8,75
2025-10-28 16:00:00,2025-10-28,16,135.0,72.0,63.0,18.0,17.9,88,12.8,0.0,6.4,18.4,133,981.5,72
2025-10-28 17:00:00,2025-10-28,17,23.0,5.0,18.0,17.1,17.8,88,13.4,0.0,2.2,15.5,180,982.0,79
2025-10-28 18:00:00,2025-10-28,18,0.0,0.0,0.0,16.4,17.3,84,14.1,0.0,3.0,6.8,284,982.6,86
2025-10-28 19:00:00,2025-10-28,19,0.0,0.0,0.0,16.1,16.7,81,13.5,0.0,3.1,5.0,324,983.2,85
2025-10-28 20:00:00,2025-10-28,20,0.0,0.0,0.0,15.5,15.4,72,12.4,0.0,5.2,9.0,344,983.5,82
2025-10-28 21:00:00,2025-10-28,21,0.0,0.0,0.0,14.9,14.4,71,11.4,0.0,6.4,11.9,344,983.8,80
2025-10-28 22:00:00,2025-10-28,22,0.0,0.0,0.0,14.3,13.6,56,11.2,0.0,6.9,13.3,351,983.9,82
2025-10-28 23:00:00,2025-10-28,23,0.0,0.0,0.0,14.1,13.4,54,11.3,0.0,7.3,13.7,351,984.0,83
2025-10-29 00:00:00,2025-10-29,0,0.0,0.0,0.0,14.3,13.5,57,11.1,0.0,7.6,14.0,352,984.1,81
2025-10-29 01:00:00,2025-10-29,1,0.0,0.0,0.0,14.5,13.7,54,10.9,0.0,7.3,13.3,349,984.0,79
