datetime,date,hour,shortwave_radiation,direct_radiation,diffuse_radiation,temperature_2m,apparent_temperature,cloudcover,dewpoint_2m,precipitation,windspeed_10m,windgusts_10m,winddirection_10m,surface_pressure,relativehumidity_2m
2021-01-01 00:00:00,2021-01-01,0,0.0,0.0,0.0,6.6,3.4,36,4.8,0.1,13.0,29.9,312,978.7,88
2021-01-01 01:00:00,2021-01-01,1,0.0,0.0,0.0,6.0,3.0,9,4.2,0.0,10.8,32.4,300,977.9,88
2021-01-01 02:00:00,2021-01-01,2,0.0,0.0,0.0,6.0,3.0,13,4.1,0.0,10.5,25.9,301,978.2,88
2021-01-01 03:00:00,2021-01-01,3,0.0,0.0,0.0,6.0,3.0,6,4.4,0.0,10.9,26.3,297,978.4,90
2021-01-01 04:00:00,2021-01-01,4,0.0,0.0,0.0,5.9,2.9,8,4.6,0.0,11.4,26.6,298,978.4,92
2021-01-01 05:00:00,2021-01-01,5,0.0,0.0,0.0,5.9,2.8,10,5.0,0.0,12.7,29.2,299,978.4,94
2021-01-01 06:00:00,2021-01-01,6,0.0,0.0,0.0,5.9,2.9,21,5.1,0.0,12.2,29.5,304,978.6,95
2021-01-01 07:00:00,2021-01-01,7,0.0,0.0,0.0,5.7,3.1,30,4.8,0.0,8.7,28.1,308,978.9,94
2021-01-01 08:00:00,2021-01-01,8,23.0,10.0,13.0,5.7,3.5,11,4.6,0.0,6.4,20.2,322,979.2,92
2021-01-01 09:00:00,2021-01-01,9,138.0,79.0,59.0,7.9,6.3,7,5.9,0.0,4.1,14.8,308,980.0,87
2021-01-01 10:00:00,2021-01-01,10,277.0,202.0,75.0,9.9,8.9,3,6.8,0.0,1.6,12.6,297,980.3,81
2021-01-01 11:00:00,2021-01-01,11,386.0,301.0,85.0,11.1,9.7,3,6.1,0.0,2.3,11.5,129,980.0,72
2021-01-01 12:00:00,2021-01-01,12,444.0,357.0,87.0,11.6,9.4,24,5.9,0.0,7.5,21.6,125,979.4,68
2021-01-01 13:00:00,2021-01-01,13,435.0,346.0,89.0,11.4,8.8,35,6.0,0.0,10.4,25.6,104,978.8,69
2021-01-01 14:00:00,2021-01-01,14,375.0,288.0,87.0,11.3,8.5,14,6.2,0.0,12.3,30.2,95,978.3,71
2021-01-01 15:00:00,2021-01-01,15,273.0,202.0,71.0,10.9,8.1,14,6.3,0.0,12.7,31.3,97,978.1,74
