datetime,date,hour,shortwave_radiation,direct_radiation,diffuse_radiation,temperature_2m,apparent_temperature,cloudcover,dewpoint_2m,precipitation,windspeed_10m,windgusts_10m,winddirection_10m,surface_pressure,relativehumidity_2m
2015-01-01 00:00:00,2015-01-01,0,0.0,0.0,0.0,-2.4,-6.1,22,-4.0,0.0,7.4,13.0,313,1017.7,88
2015-01-01 01:00:00,2015-01-01,1,0.0,0.0,0.0,-2.3,-6.1,18,-4.2,0.0,7.7,15.8,298,1017.6,87
2015-01-01 02:00:00,2015-01-01,2,0.0,0.0,0.0,-2.4,-6.2,12,-4.4,0.0,7.2,16.2,297,1017.3,86
2015-01-01 03:00:00,2015-01-01,3,0.0,0.0,0.0,-2.8,-6.5,10,-4.6,0.0,6.6,15.8,292,1016.8,87
2015-01-01 04:00:00,2015-01-01,4,0.0,0.0,0.0,-3.2,-6.7,14,-5.0,0.0,5.4,16.2,278,1015.8,87
2015-01-01 05:00:00,2015-01-01,5,0.0,0.0,0.0,-3.3,-6.9,15,-5.1,0.0,5.6,16.6,255,1014.8,87
2015-01-01 06:00:00,2015-01-01,6,0.0,0.0,0.0,-3.9,-7.7,9,-5.5,0.0,6.6,16.6,241,1014.6,89
2015-01-01 07:00:00,2015-01-01,7,0.0,0.0,0.0,-4.0,-7.8,8,-5.6,0.0,6.8,16.2,245,1015.0,89
2015-01-01 08:00:00,2015-01-01,8,0.0,0.0,0.0,-3.7,-7.2,4,-5.4,0.0,4.8,13.3,257,1015.7,88
2015-01-01 09:00:00,2015-01-01,9,31.0,16.0,15.0,-3.1,-6.5,7,-4.8,0.0,4.7,11.5,266,1016.1,88
2015-01-01 10:00:00,2015-01-01,10,137.0,89.0,48.0,-0.3,-3.4,3,-3.8,0.0,2.9,14.4,277,1016.5,78
2015-01-01 11:00:00,2015-01-01,11,246.0,181.0,65.0,1.9,-1.3,2,-3.4,0.0,4.1,14.4,308,1017.6,68
2015-01-01 12:00:00,2015-01-01,12,315.0,241.0,74.0,3.3,0.2,0,-2.9,0.0,3.6,14.0,323,1017.4,64
2015-01-01 13:00:00,2015-01-01,13,335.0,260.0,75.0,4.2,1.4,2,-1.9,0.0,2.9,13.3,240,1016.6,65
2015-01-01 14:00:00,2015-01-01,14,311.0,238.0,73.0,4.5,1.5,0,-1.7,0.0,4.6,12.2,225,1016.0,64
2015-01-01 15:00:00,2015-01-01,15,235.0,169.0,66.0,4.5,1.4,0,-1.5,0.0,5.4,10.4,222,1015.9,65
2015-01-01 16:00:00,2015-01-01,16,127.0,81.0,46.0,3.8,0.6,0,-1.0,0.0,6.1,7.9,225,1015.7,71
2015-01-01 17:00:00,2015-01-01,17,23.0,11.0,12.0,1.9,-1.5,0,-1.1,0.0,7.7,8.3,233,1015.8,81
2015-01-01 18:00:00,2015-01-01,18,0.0,0.0,0.0,1.2,-2.0,0,-1.8,0.0,6.2,8.6,263,1016.1,80
2015-01-01 19:00:00,2015-01-01,19,0.0,0.0,0.0,-0.5,-3.8,0,-2.6,0.0,5.9,9.0,317,1016.4,85
2015-01-01 20:00:00,2015-01-01,20,0.0,0.0,0.0,-1.5,-4.7,0,-3.4,0.0,3.8,9.4,319,1016.9,87
2015-01-01 21:00:00,2015-01-01,21,0.0,0.0,0.0,-1.3,-4.1,0,-3.2,0.0,1.6,10.1,297,1016.8,87
2015-01-01 22:00:00,2015-01-01,22,0.0,0.0,0.0,-1.9,-4.8,0,-3.5,0.0,2.5,10.4,278,1016.5,89
2015-01-01 23:00:00,2015-01-01,23,0.0,0.0,0.0,-2.3,-5.8,0,-3.6,0.0,6.6,11.2,315,1017.1,90
2015-01-02 00:00:00,2015-01-02,0,0.0,0.0,0.0,-3.1,-6.5,1,-4.0,0.0,5.6,13.0,285,1016.8,94
2015-01-02 01:00:00,2015-01-02,1,0.0,0.0,0.0,-3.4,-6.7,18,-4.3,0.0,4.6,14.8,252,1015.8,93
2015-01-02 02:00:00,2015-01-02,2,0.0,0.0,0.0,-3.2,-6.7,11,-4.2,0.0,5.5,15.8,259,1015.6,92
2015-01-02 03:00:00,2015-01-02,3,0.0,0.0,0.0,-3.1,-6.7,46,-4.3,0.0,6.3,16.2,283,1015.5,92
2015-01-02 04:00:00,2015-01-02,4,0.0,0.0,0.0,-3.2,-6.9,76,-4.3,0.0,6.8,16.6,288,1015.1,92
2015-01-02 05:00:00,2015-01-02,5,0.0,0.0,0.0,-3.2,-6.8,27,-4.2,0.0,6.2,17.3,277,1014.4,93
2015-01-02 06:00:00,2015-01-02,6,0.0,0.0,0.0,-3.1,-6.6,26,-4.2,0.0,5.8,17.6,277,1014.2,92
2015-01-02 07:00:00,2015-01-02,7,0.0,0.0,0.0,-3.1,-6.6,47,-4.2,0.0,5.4,18.0,274,1014.1,92
2015-01-02 08:00:00,2015-01-02,8,0.0,0.0,0.0,-3.2,-6.6,40,-3.9,0.0,5.4,17.6,266,1013.9,95
2015-01-02 09:00:00,2015-01-02,9,29.0,12.0,17.0,-2.4,-5.8,39,-3.1,0.0,6.1,18.4,270,1014.2,95
2015-01-02 10:00:00,2015-01-02,10,137.0,82.0,55.0,0.8,-2.2,34,-1.1,0.0,5.1,18.7,262,1014.2,87
2015-01-02 11:00:00,2015-01-02,11,246.0,177.0,69.0,3.9,1.0,26,0.5,0.0,5.9,18.4,284,1014.4,78
2015-01-02 12:00:00,2015-01-02,12,317.0,240.0,77.0,6.1,3.5,27,1.4,0.0,5.5,16.9,259,1014.0,72
2015-01-02 13:00:00,2015-01-02,13,342.0,265.0,77.0,7.6,4.9,55,2.3,0.0,6.9,15.8,208,1012.8,69
2015-01-02 14:00:00,2015-01-02,14,313.0,237.0,76.0,8.3,5.6,86,2.7,0.0,7.2,15.5,207,1011.6,68
2015-01-02 15:00:00,2015-01-02,15,235.0,165.0,70.0,8.3,5.8,98,3.2,0.0,6.1,14.8,225,1011.4,70
2015-01-02 16:00:00,2015-01-02,16,118.0,60.0,58.0,7.1,4.8,97,3.4,0.0,5.6,12.2,255,1011.1,78
