datetime,date,hour,shortwave_radiation,direct_radiation,diffuse_radiation,temperature_2m,apparent_temperature,cloudcover,dewpoint_2m,precipitation,windspeed_10m,windgusts_10m,winddirection_10m,surface_pressure,relativehumidity_2m
2025-10-27 00:00:00,2025-10-27,0,0.0,0.0,0.0,14.9,15.0,36,11.7,0.0,2.7,11.5,113,999.6,81
2025-10-27 01:00:00,2025-10-27,1,0.0,0.0,0.0,14.5,14.8,57,11.8,0.0,1.8,5.8,349,1000.2,84
2025-10-27 02:00:00,2025-10-27,2,0.0,0.0,0.0,14.0,14.1,69,12.0,0.0,3.5,7.6,336,1000.7,88
2025-10-27 03:00:00,2025-10-27,3,0.0,0.0,0.0,14.2,14.1,76,11.9,0.0,4.7,10.1,4,1000.9,86
2025-10-27 04:00:00,2025-10-27,4,0.0,0.0,0.0,13.6,13.4,59,11.9,0.0,5.4,13.0,42,1001.4,89
2025-10-27 05:00:00,2025-10-27,5,0.0,0.0,0.0,13.3,13.4,27,11.9,0.0,2.9,10.8,360,1002.0,91
2025-10-27 06:00:00,2025-10-27,6,0.0,0.0,0.0,12.9,13.1,43,11.5,0.0,2.4,6.5,297,1002.7,91
2025-10-27 07:00:00,2025-10-27,7,5.0,1.0,4.0,12.4,12.5,40,10.8,0.0,1.1,4.3,270,1003.7,90
2025-10-27 08:00:00,2025-10-27,8,100.0,45.0,55.0,12.7,12.9,0,11.0,0.0,0.7,1.8,180,1004.1,89
2025-10-27 09:00:00,2025-10-27,9,265.0,184.0,81.0,14.8,14.6,0,10.0,0.0,1.5,4.3,194,1005.0,73
2025-10-27 10:00:00,2025-10-27,10,408.0,315.0,93.0,16.6,16.2,33,9.3,0.0,1.9,6.5,202,1004.9,62
2025-10-27 11:00:00,2025-10-27,11,488.0,348.0,140.0,18.3,17.4,54,9.4,0.0,4.7,13.3,274,1005.1,56
2025-10-27 12:00:00,2025-10-27,12,492.0,326.0,166.0,19.4,17.9,44,9.0,0.0,8.3,21.2,265,1004.2,51
2025-10-27 13:00:00,2025-10-27,13,471.0,304.0,167.0,19.8,17.8,53,8.2,0.0,11.1,27.0,234,1003.8,47
2025-10-27 14:00:00,2025-10-27,14,413.0,251.0,162.0,19.7,17.6,36,8.7,0.0,11.8,28.1,220,1003.3,49
2025-10-27 15:00:00,2025-10-27,15,331.0,196.0,135.0,19.1,17.2,100,9.3,0.0,12.1,29.2,203,1003.3,53
2025-10-27 16:00:00,2025-10-27,16,143.0,16.0,127.0,18.3,16.7,100,9.9,0.0,11.3,28.8,189,1002.9,58
2025-10-27 17:00:00,2025-10-27,17,45.0,1.0,44.0,17.9,16.9,52,10.1,0.0,7.5,25.9,163,1002.4,60
2025-10-27 18:00:00,2025-10-27,18,0.0,0.0,0.0,17.0,16.3,41,10.6,0.0,6.5,16.9,124,1002.3,66
2025-10-27 19:00:00,2025-10-27,19,0.0,0.0,0.0,16.0,15.6,35,11.0,0.0,5.2,15.5,124,1002.5,72
2025-10-27 20:00:00,2025-10-27,20,0.0,0.0,0.0,15.3,15.1,36,11.3,0.0,4.5,11.2,119,1002.7,77
2025-10-27 21:00:00,2025-10-27,21,0.0,0.0,0.0,14.8,14.8,60,11.4,0.0,3.6,9.4,84,1003.2,80
2025-10-27 22:00:00,2025-10-27,22,0.0,0.0,0.0,14.6,14.6,84,11.4,0.0,2.8,7.2,50,1003.4,81
2025-10-27 23:00:00,2025-10-27,23,0.0,0.0,0.0,14.2,14.3,45,11.4,0.0,2.6,6.1,34,1003.8,83
2025-10-28 00:00:00,2025-10-28,0,0.0,0.0,0.0,13.4,13.2,33,11.1,0.0,4.0,7.6,355,1003.9,86
2025-10-28 01:00:00,2025-10-28,1,0.0,0.0,0.0,12.9,12.7,10,10.3,0.0,2.2,7.9,9,1004.6,84
2025-10-28 02:00:00,2025-10-28,2,0.0,0.0,0.0,12.5,12.2,5,10.2,0.0,2.6,5.0,16,1004.9,86
2025-10-28 03:00:00,2025-10-28,3,0.0,0.0,0.0,11.9,11.6,0,10.1,0.0,2.4,6.5,27,1005.0,89
2025-10-28 04:00:00,2025-10-28,4,0.0,0.0,0.0,11.4,11.0,0,10.0,0.0,2.7,6.5,23,1005.3,91
2025-10-28 05:00:00,2025-10-28,5,0.0,0.0,0.0,11.0,10.6,0,9.7,0.0,2.6,6.1,16,1005.5,92
2025-10-28 06:00:00,2025-10-28,6,0.0,0.0,0.0,10.6,10.2,0,9.4,0.0,2.2,6.5,9,1006.2,92
2025-10-28 07:00:00,2025-10-28,7,5.0,1.0,4.0,10.3,9.8,0,9.1,0.0,2.2,4.7,351,1006.9,92
2025-10-28 08:00:00,2025-10-28,8,96.0,44.0,52.0,10.9,10.5,0,9.4,0.0,2.2,5.0,9,1008.1,90
2025-10-28 09:00:00,2025-10-28,9,252.0,168.0,84.0,13.2,12.7,0,9.5,0.0,2.8,7.9,40,1008.8,78
2025-10-28 10:00:00,2025-10-28,10,397.0,298.0,99.0,15.8,15.2,0,10.1,0.0,4.6,12.2,45,1009.3,69
2025-10-28 11:00:00,2025-10-28,11,503.0,397.0,106.0,17.9,17.5,0,10.6,0.0,4.2,13.3,31,1009.6,62
2025-10-28 12:00:00,2025-10-28,12,556.0,449.0,107.0,19.7,19.6,0,11.2,0.0,3.2,13.0,360,1009.5,58
2025-10-28 13:00:00,2025-10-28,13,551.0,448.0,103.0,21.0,21.2,0,11.3,0.0,1.3,10.1,304,1009.2,54
2025-10-28 14:00:00,2025-10-28,14,487.0,390.0,97.0,21.7,21.6,6,11.7,0.0,4.3,11.5,228,1009.1,53
2025-10-28 15:00:00,2025-10-28,15,371.0,282.0,89.0,21.8,21.4,27,11.5,0.0,5.7,15.1,215,1009.3,52
2025-10-28 16:00:00,2025-10-28,16,220.0,146.0,74.0,21.3,20.9,18,11.7,0.0,6.3,15.8,193,1009.6,54
2025-10-28 17:00:00,2025-10-28,17,65.0,30.0,35.0,20.4,19.8,0,10.3,0.0,5.1,15.5,172,1010.0,52
2025-10-28 18:00:00,2025-10-28,18,0.0,0.0,0.0,18.6,18.7,0,12.4,0.0,4.6,11.5,162,1010.5,67
2025-10-28 19:00:00,2025-10-28,19,0.0,0.0,0.0,17.0,17.7,0,13.6,0.0,3.7,10.1,191,1010.9,80
2025-10-28 20:00:00,2025-10-28,20,0.0,0.0,0.0,16.1,16.7,0,13.4,0.0,3.4,7.9,198,1011.4,84
2025-10-28 21:00:00,2025-10-28,21,0.0,0.0,0.0,15.5,16.0,0,13.2,0.0,3.3,7.2,167,1011.5,86
2025-10-28 22:00:00,2025-10-28,22,0.0,0.0,0.0,15.1,15.4,0,12.4,0.0,2.7,5.8,157,1011.9,84
2025-10-28 23:00:00,2025-10-28,23,0.0,0.0,0.0,14.6,14.5,14,11.9,0.0,4.4,8.6,125,1012.2,84
2025-10-29 00:00:00,2025-10-29,0,0.0,0.0,0.0,13.7,13.7,59,11.8,0.0,3.9,8.6,124,1012.4,88
2025-10-29 01:00:00,2025-10-29,1,0.0,0.0,0.0,13.7,13.8,60,11.6,0.0,3.1,7.6,126,1012.5,87
2025-10-29 02:00:00,2025-10-29,2,0.0,0.0,0.0,13.9,13.9,61,11.6,0.0,3.5,7.6,114,1012.2,86
2025-10-29 03:00:00,2025-10-29,3,0.0,0.0,0.0,14.1,14.2,48,11.6,0.0,3.0,7.6,104,1011.8,85
2025-10-29 04:00:00,2025-10-29,4,0.0,0.0,0.0,14.2,14.5,57,11.9,0.0,2.2,5.8,81,1011.9,86
2025-10-29 05:00:00,2025-10-29,5,0.0,0.0,0.0,14.0,14.1,49,12.0,0.0,3.3,6.1,77,1012.1,88
2025-10-29 06:00:00,2025-10-29,6,0.0,0.0,0.0,13.8,14.0,36,11.9,0.0,2.7,6.1,67,1012.1,88
2025-10-29 07:00:00,2025-10-29,7,3.0,0.0,3.0,13.6,13.7,38,11.5,0.0,2.6,5.4,74,1012.5,87
2025-10-29 08:00:00,2025-10-29,8,89.0,38.0,51.0,14.3,14.5,35,11.5,0.0,2.3,5.4,72,1013.0,83
2025-10-29 09:00:00,2025-10-29,9,233.0,139.0,94.0,16.7,17.0,46,11.8,0.0,1.8,5.4,79,1013.4,73
2025-10-29 10:00:00,2025-10-29,10,363.0,231.0,132.0,19.0,19.1,33,12.3,0.0,4.8,11.9,153,1013.5,65
2025-10-29 11:00:00,2025-10-29,11,445.0,300.0,145.0,20.7,19.9,65,12.7,0.0,11.3,27.4,173,1013.2,60
2025-10-29 12:00:00,2025-10-29,12,440.0,289.0,151.0,21.1,20.3,40,12.8,0.0,12.1,29.9,168,1012.6,59
2025-10-29 13:00:00,2025-10-29,13,422.0,257.0,165.0,21.6,20.5,90,11.9,0.0,11.2,29.2,180,1011.9,54
2025-10-29 14:00:00,2025-10-29,14,296.0,145.0,151.0,21.2,20.1,80,12.6,0.0,13.7,32.4,182,1011.6,58
2025-10-29 15:00:00,2025-10-29,15,252.0,120.0,132.0,20.8,19.9,87,13.3,0.0,13.8,32.8,174,1011.3,62
2025-10-29 16:00:00,2025-10-29,16,161.0,62.0,99.0,20.2,19.3,98,13.4,0.0,13.6,32.0,169,1011.1,65
2025-10-29 17:00:00,2025-10-29,17,46.0,3.0,43.0,19.3,18.9,100,13.9,0.0,11.4,31.7,162,1010.8,71
2025-10-29 18:00:00,2025-10-29,18,0.0,0.0,0.0,18.3,18.4,97,13.8,0.0,8.0,25.6,153,1010.8,75
2025-10-29 19:00:00,2025-10-29,19,0.0,0.0,0.0,17.7,17.8,98,13.3,0.0,6.5,18.4,161,1010.9,75
2025-10-29 20:00:00,2025-10-29,20,0.0,0.0,0.0,17.3,17.1,100,12.9,0.0,7.6,16.2,149,1010.9,75
2025-10-29 21:00:00,2025-10-29,21,0.0,0.0,0.0,17.1,17.0,100,12.7,0.0,6.9,15.8,137,1010.7,75
2025-10-29 22:00:00,2025-10-29,22,0.0,0.0,0.0,17.0,17.2,96,12.8,0.0,5.0,15.1,150,1010.5,76
2025-10-29 23:00:00,2025-10-29,23,0.0,0.0,0.0,17.2,17.2,94,12.7,0.0,6.1,12.6,140,1010.1,75
2025-10-30 00:00:00,2025-10-30,0,0.0,0.0,0.0,17.0,16.9,100,12.8,0.0,7.1,14.8,150,1009.9,76
2025-10-30 01:00:00,2025-10-30,1,0.0,0.0,0.0,17.0,16.8,100,13.0,0.0,8.4,18.4,149,1009.5,77
2025-10-30 02:00:00,2025-10-30,2,0.0,0.0,0.0,17.0,17.0,100,13.4,0.1,7.9,18.7,137,1009.2,79
2025-10-30 03:00:00,2025-10-30,3,0.0,0.0,0.0,17.0,16.8,100,13.8,0.4,10.2,22.0,148,1008.4,81
2025-10-30 04:00:00,2025-10-30,4,0.0,0.0,0.0,17.1,17.0,100,13.7,0.1,9.3,23.4,167,1008.2,80
2025-10-30 05:00:00,2025-10-30,5,0.0,0.0,0.0,17.0,16.8,100,14.5,0.6,11.6,25.9,154,1008.0,85
2025-10-30 06:00:00,2025-10-30,6,0.0,0.0,0.0,17.0,17.1,100,15.2,1.3,11.1,26.3,151,1007.8,89
2025-10-30 07:00:00,2025-10-30,7,1.0,0.0,1.0,17.1,17.3,100,15.3,1.7,11.0,24.8,157,1007.7,89
2025-10-30 08:00:00,2025-10-30,8,16.0,0.0,16.0,17.5,17.9,100,15.5,2.1,10.5,24.5,158,1008.0,88
2025-10-30 09:00:00,2025-10-30,9,32.0,0.0,32.0,17.9,18.2,100,16.1,2.1,12.0,27.0,159,1008.1,89
2025-10-30 10:00:00,2025-10-30,10,71.0,2.0,69.0,18.4,19.0,100,16.5,1.7,11.3,27.4,158,1008.3,89
2025-10-30 11:00:00,2025-10-30,11,130.0,8.0,122.0,19.0,19.7,100,17.0,2.0,12.2,27.4,161,1008.4,88
2025-10-30 12:00:00,2025-10-30,12,95.0,2.0,93.0,19.2,20.1,100,17.3,2.4,11.8,27.0,160,1008.2,89
2025-10-30 13:00:00,2025-10-30,13,103.0,1.0,102.0,19.4,20.4,100,17.4,1.0,11.3,26.3,158,1007.7,88
2025-10-30 14:00:00,2025-10-30,14,95.0,1.0,94.0,19.4,20.6,99,17.4,2.1,10.2,24.5,157,1007.6,88
2025-10-30 15:00:00,2025-10-30,15,76.0,1.0,75.0,19.3,20.7,99,17.3,2.1,8.4,22.3,155,1007.5,88
2025-10-30 16:00:00,2025-10-30,16,50.0,1.0,49.0,19.0,20.6,98,17.2,2.1,6.6,19.4,151,1007.6,89
2025-10-30 17:00:00,2025-10-30,17,17.0,0.0,17.0,18.8,20.6,97,17.1,1.9,4.6,15.5,135,1008.1,90
2025-10-30 18:00:00,2025-10-30,18,0.0,0.0,0.0,18.4,20.5,95,16.9,1.9,3.0,11.2,104,1008.9,91
2025-10-30 19:00:00,2025-10-30,19,0.0,0.0,0.0,18.1,20.0,94,16.8,1.9,3.2,7.6,63,1009.5,92
2025-10-30 20:00:00,2025-10-30,20,0.0,0.0,0.0,17.7,19.5,85,16.5,0.0,3.3,6.1,49,1009.9,93
2025-10-30 21:00:00,2025-10-30,21,0.0,0.0,0.0,17.2,18.9,75,16.2,0.0,3.1,5.4,36,1010.2,94
2025-10-30 22:00:00,2025-10-30,22,0.0,0.0,0.0,16.8,18.4,66,16.0,0.0,2.9,5.4,30,1010.4,95
2025-10-30 23:00:00,2025-10-30,23,0.0,0.0,0.0,16.4,18.0,66,15.8,0.0,3.1,5.4,21,1010.7,96
2025-10-31 00:00:00,2025-10-31,0,0.0,0.0,0.0,16.1,17.6,66,15.5,0.0,3.1,5.8,21,1010.9,96
2025-10-31 01:00:00,2025-10-31,1,0.0,0.0,0.0,15.8,17.1,66,15.2,0.0,3.1,6.1,21,1011.0,96
2025-10-31 02:00:00,2025-10-31,2,0.0,0.0,0.0,15.5,16.7,60,14.9,0.0,2.7,6.1,23,1011.0,96
2025-10-31 03:00:00,2025-10-31,3,0.0,0.0,0.0,15.2,16.2,53,14.4,0.0,2.9,5.8,30,1011.0,95
2025-10-31 04:00:00,2025-10-31,4,0.0,0.0,0.0,14.8,15.8,47,14.0,0.0,2.6,5.4,34,1011.0,95
2025-10-31 05:00:00,2025-10-31,5,0.0,0.0,0.0,14.2,15.1,47,13.6,0.0,2.4,5.0,27,1011.2,96
2025-10-31 06:00:00,2025-10-31,6,0.0,0.0,0.0,13.7,14.4,48,13.4,0.0,2.3,4.7,18,1011.5,98
2025-10-31 07:00:00,2025-10-31,7,3.0,0.0,3.0,13.7,14.5,48,13.3,0.0,2.2,5.0,9,1011.8,97
2025-10-31 08:00:00,2025-10-31,8,50.0,19.0,31.0,14.9,15.7,34,13.7,0.0,2.6,6.8,16,1012.3,92
2025-10-31 09:00:00,2025-10-31,9,180.0,101.0,79.0,16.8,17.7,21,14.1,0.0,3.1,9.0,21,1012.9,84
2025-10-31 10:00:00,2025-10-31,10,336.0,213.0,123.0,18.6,19.6,7,14.5,0.0,3.5,10.4,24,1013.2,77
2025-10-31 11:00:00,2025-10-31,11,443.0,301.0,142.0,20.1,21.1,24,14.7,0.0,3.4,10.1,18,1013.0,71
2025-10-31 12:00:00,2025-10-31,12,488.0,350.0,138.0,21.4,22.7,42,15.1,0.0,2.9,9.4,360,1012.7,67
2025-10-31 13:00:00,2025-10-31,13,480.0,351.0,129.0,22.4,23.8,59,15.1,0.0,2.5,8.6,352,1012.4,63
2025-10-31 14:00:00,2025-10-31,14,421.0,298.0,123.0,22.9,24.1,45,14.8,0.0,2.9,9.0,360,1012.2,60
2025-10-31 15:00:00,2025-10-31,15,318.0,209.0,109.0,23.0,24.1,31,14.6,0.0,3.3,10.1,13,1012.1,59
2025-10-31 16:00:00,2025-10-31,16,195.0,117.0,78.0,22.7,23.8,17,14.6,0.0,3.3,10.1,13,1012.1,60
2025-10-31 17:00:00,2025-10-31,17,64.0,35.0,29.0,21.9,23.3,12,15.3,0.0,2.2,8.6,351,1012.4,66
2025-10-31 18:00:00,2025-10-31,18,0.0,0.0,0.0,20.6,22.5,8,16.1,0.0,1.8,6.5,281,1012.9,75
2025-10-31 19:00:00,2025-10-31,19,0.0,0.0,0.0,19.4,21.3,3,16.5,0.0,2.6,4.7,254,1013.3,83
2025-10-31 20:00:00,2025-10-31,20,0.0,0.0,0.0,18.5,20.5,3,16.3,0.0,1.5,3.6,256,1013.5,87
2025-10-31 21:00:00,2025-10-31,21,0.0,0.0,0.0,17.7,19.6,2,15.9,0.0,0.8,2.9,27,1013.6,89
2025-10-31 22:00:00,2025-10-31,22,0.0,0.0,0.0,16.8,18.3,2,15.4,0.0,2.3,2.9,39,1013.8,91
2025-10-31 23:00:00,2025-10-31,23,0.0,0.0,0.0,16.0,17.3,21,15.0,0.0,2.4,3.2,27,1014.0,94
2025-11-01 00:00:00,2025-11-01,0,0.0,0.0,0.0,15.1,16.3,39,14.5,0.0,2.2,4.3,9,1014.3,96
2025-11-01 01:00:00,2025-11-01,1,0.0,0.0,0.0,14.4,15.5,58,14.1,0.0,2.2,5.0,360,1014.5,98
2025-11-01 02:00:00,2025-11-01,2,0.0,0.0,0.0,14.0,14.9,55,13.8,0.0,2.2,5.4,9,1014.5,99
2025-11-01 03:00:00,2025-11-01,3,0.0,0.0,0.0,13.6,14.4,52,13.5,0.0,2.4,5.8,27,1014.5,99
2025-11-01 04:00:00,2025-11-01,4,0.0,0.0,0.0,13.4,14.0,49,13.2,0.0,2.6,6.1,34,1014.5,99
2025-11-01 05:00:00,2025-11-01,5,0.0,0.0,0.0,13.1,13.5,47,12.8,0.0,2.9,6.5,30,1014.7,98
2025-11-01 06:00:00,2025-11-01,6,0.0,0.0,0.0,12.8,13.2,45,12.5,0.0,3.1,7.2,21,1014.8,98
2025-11-01 07:00:00,2025-11-01,7,3.0,0.0,3.0,12.7,12.9,43,12.2,0.0,3.3,7.6,13,1015.0,97
2025-11-01 08:00:00,2025-11-01,8,53.0,21.0,32.0,15.2,15.6,58,13.4,0.0,4.7,10.1,32,1013.8,89
2025-11-01 09:00:00,2025-11-01,9,184.0,110.0,74.0,17.3,17.8,79,13.9,0.0,5.1,11.2,39,1014.4,80
2025-11-01 10:00:00,2025-11-01,10,337.0,226.0,111.0,19.3,19.9,100,14.1,0.0,4.8,11.9,48,1014.7,72
2025-11-01 11:00:00,2025-11-01,11,437.0,291.0,146.0,20.8,21.7,88,14.2,0.0,2.9,10.4,60,1014.4,66
2025-11-01 12:00:00,2025-11-01,12,473.0,299.0,174.0,22.1,23.4,77,14.5,0.0,1.0,8.6,135,1013.9,62
2025-11-01 13:00:00,2025-11-01,13,455.0,271.0,184.0,22.8,24.0,65,14.7,0.0,2.6,7.9,196,1013.5,60
2025-11-01 14:00:00,2025-11-01,14,391.0,220.0,171.0,22.8,23.9,53,14.9,0.0,3.7,10.8,209,1013.4,61
2025-11-01 15:00:00,2025-11-01,15,289.0,151.0,138.0,22.2,23.2,41,14.8,0.0,4.1,15.1,218,1013.4,63
2025-11-01 16:00:00,2025-11-01,16,175.0,85.0,90.0,21.4,22.5,29,15.0,0.0,4.1,16.9,225,1013.5,67
2025-11-01 17:00:00,2025-11-01,17,58.0,27.0,31.0,20.5,21.8,19,15.5,0.0,3.6,14.0,225,1013.7,73
2025-11-01 18:00:00,2025-11-01,18,0.0,0.0,0.0,19.4,21.0,10,15.6,0.0,2.3,9.0,219,1014.2,79
2025-11-01 19:00:00,2025-11-01,19,0.0,0.0,0.0,18.3,20.1,0,15.8,0.0,1.1,5.0,198,1014.6,85
2025-11-01 20:00:00,2025-11-01,20,0.0,0.0,0.0,17.4,19.2,0,15.6,0.0,0.8,4.3,117,1014.8,89
2025-11-01 21:00:00,2025-11-01,21,0.0,0.0,0.0,16.6,18.0,0,15.3,0.0,2.2,5.0,90,1014.7,92
2025-11-01 22:00:00,2025-11-01,22,0.0,0.0,0.0,15.8,17.0,0,14.9,0.0,3.0,5.8,76,1014.7,94
2025-11-01 23:00:00,2025-11-01,23,0.0,0.0,0.0,15.2,16.3,30,14.6,0.0,3.1,6.1,69,1014.6,96
2025-11-02 00:00:00,2025-11-02,0,0.0,0.0,0.0,14.7,15.7,61,14.3,0.0,2.9,6.8,60,1014.5,97
2025-11-02 01:00:00,2025-11-02,1,0.0,0.0,0.0,14.3,15.1,91,14.0,0.0,3.1,7.2,54,1014.3,98
2025-11-02 02:00:00,2025-11-02,2,0.0,0.0,0.0,13.8,14.5,93,13.5,0.0,3.1,7.2,54,1014.0,98
2025-11-02 03:00:00,2025-11-02,3,0.0,0.0,0.0,13.4,13.9,94,13.1,0.0,3.4,7.6,58,1013.6,98
2025-11-02 04:00:00,2025-11-02,4,0.0,0.0,0.0,13.2,13.6,96,12.8,0.0,3.7,7.6,61,1013.3,97
2025-11-02 05:00:00,2025-11-02,5,0.0,0.0,0.0,13.1,13.3,89,12.5,0.0,4.0,7.6,63,1013.1,96
2025-11-02 06:00:00,2025-11-02,6,0.0,0.0,0.0,13.1,13.3,81,12.5,0.0,4.0,7.6,63,1012.9,96
2025-11-02 07:00:00,2025-11-02,7,5.0,2.0,3.0,13.7,13.9,74,12.7,0.0,4.1,9.0,75,1012.7,94
2025-11-02 08:00:00,2025-11-02,8,65.0,27.0,38.0,15.3,15.9,79,13.9,0.0,4.6,11.9,108,1012.7,91
2025-11-02 09:00:00,2025-11-02,9,149.0,61.0,88.0,17.6,18.4,84,15.4,0.0,6.9,15.8,133,1012.8,87
2025-11-02 10:00:00,2025-11-02,10,221.0,94.0,127.0,19.4,20.3,89,16.4,0.0,9.4,20.5,148,1012.6,83
2025-11-02 11:00:00,2025-11-02,11,290.0,140.0,150.0,20.2,20.8,93,16.7,0.0,12.0,26.3,159,1012.1,80
2025-11-02 12:00:00,2025-11-02,12,346.0,188.0,158.0,20.6,20.7,96,16.5,0.0,14.7,32.4,169,1011.5,77
2025-11-02 13:00:00,2025-11-02,13,358.0,202.0,156.0,20.8,20.6,100,16.4,0.0,16.7,36.7,173,1010.8,76
2025-11-02 14:00:00,2025-11-02,14,316.0,163.0,153.0,20.6,20.4,100,16.3,0.0,16.8,37.4,171,1010.2,76
2025-11-02 15:00:00,2025-11-02,15,236.0,100.0,136.0,20.2,20.0,100,16.3,0.0,16.3,36.4,166,1009.7,78
2025-11-02 16:00:00,2025-11-02,16,136.0,45.0,91.0,19.8,19.8,100,16.3,0.0,15.1,34.9,162,1009.4,80
2025-11-02 17:00:00,2025-11-02,17,38.0,10.0,28.0,19.4,19.6,100,16.3,0.0,13.8,33.1,160,1009.4,82
2025-11-02 18:00:00,2025-11-02,18,0.0,0.0,0.0,19.0,19.5,100,16.5,0.0,12.1,31.3,157,1009.8,85
2025-11-02 19:00:00,2025-11-02,19,0.0,0.0,0.0,18.7,19.4,100,16.5,0.0,10.8,29.2,154,1010.0,87
2025-11-02 20:00:00,2025-11-02,20,0.0,0.0,0.0,18.4,19.0,96,16.4,0.0,10.7,27.4,147,1009.9,88
2025-11-02 21:00:00,2025-11-02,21,0.0,0.0,0.0,18.2,18.7,91,16.3,0.0,11.3,25.6,143,1009.6,89
2025-11-02 22:00:00,2025-11-02,22,0.0,0.0,0.0,18.0,18.6,87,16.4,0.0,11.5,24.1,139,1009.3,90
2025-11-02 23:00:00,2025-11-02,23,0.0,0.0,0.0,18.0,18.6,90,16.3,0.0,10.7,23.0,138,1009.1,90
2025-11-03 00:00:00,2025-11-03,0,0.0,0.0,0.0,18.0,18.8,94,16.3,0.0,9.7,22.3,138,1008.8,90
2025-11-03 01:00:00,2025-11-03,1,0.0,0.0,0.0,18.0,18.9,97,16.3,0.0,8.9,21.2,137,1008.6,90
2025-11-03 02:00:00,2025-11-03,2,0.0,0.0,0.0,17.8,18.8,98,16.3,0.1,8.7,20.2,132,1008.3,91
2025-11-03 03:00:00,2025-11-03,3,0.0,0.0,0.0,17.7,18.7,99,16.4,0.1,8.5,18.7,126,1008.1,92
2025-11-03 04:00:00,2025-11-03,4,0.0,0.0,0.0,17.6,18.6,100,16.4,0.1,8.6,18.0,123,1007.9,93
2025-11-03 05:00:00,2025-11-03,5,0.0,0.0,0.0,17.6,18.6,100,16.4,0.0,8.3,17.3,124,1007.9,93
2025-11-03 06:00:00,2025-11-03,6,0.0,0.0,0.0,17.6,18.6,100,16.3,0.0,8.2,17.3,128,1007.9,92
