datetime,date,hour,shortwave_radiation,direct_radiation,diffuse_radiation,temperature_2m,apparent_temperature,cloudcover,dewpoint_2m,precipitation,windspeed_10m,windgusts_10m,winddirection_10m,surface_pressure,relativehumidity_2m
2025-10-27 00:00:00,2025-10-27,0,0.0,0.0,0.0,10.5,6.5,96,-2.5,0.0,10.5,21.2,329,990.4,40
2025-10-27 01:00:00,2025-10-27,1,0.0,0.0,0.0,10.1,5.9,0,-2.3,0.0,11.6,18.0,353,991.1,42
2025-10-27 02:00:00,2025-10-27,2,0.0,0.0,0.0,9.1,5.3,0,-1.7,0.0,9.5,19.8,81,991.2,47
2025-10-27 03:00:00,2025-10-27,3,0.0,0.0,0.0,8.2,6.0,47,0.7,0.0,1.1,10.8,198,991.7,59
2025-10-27 04:00:00,2025-10-27,4,0.0,0.0,0.0,8.0,5.9,5,4.4,0.0,5.4,5.0,42,991.6,78
2025-10-27 05:00:00,2025-10-27,5,0.0,0.0,0.0,7.7,6.3,27,6.0,0.0,2.6,10.1,34,991.7,89
2025-10-27 06:00:00,2025-10-27,6,0.0,0.0,0.0,7.5,6.2,21,6.1,0.0,2.1,7.9,59,992.0,91
2025-10-27 07:00:00,2025-10-27,7,0.0,0.0,0.0,7.4,5.9,16,6.3,0.0,3.4,4.7,58,991.4,93
2025-10-27 08:00:00,2025-10-27,8,54.8,26.0,28.8,7.8,6.6,21,6.5,0.0,1.8,6.1,307,992.0,92
2025-10-27 09:00:00,2025-10-27,9,182.0,101.2,80.8,9.6,8.6,100,7.0,0.0,1.8,4.0,281,992.0,84
2025-10-27 10:00:00,2025-10-27,10,332.2,247.0,85.2,11.7,10.6,0,7.6,0.0,3.0,6.8,284,992.1,76
2025-10-27 11:00:00,2025-10-27,11,379.2,217.5,161.8,13.1,11.9,100,8.0,0.0,4.6,10.4,252,992.0,71
2025-10-27 12:00:00,2025-10-27,12,468.8,339.5,129.2,14.7,13.2,0,7.9,0.0,6.6,13.7,299,991.0,64
2025-10-27 13:00:00,2025-10-27,13,519.8,438.2,81.5,16.0,13.7,0,5.6,0.0,8.3,16.6,275,990.4,50
2025-10-27 14:00:00,2025-10-27,14,472.5,394.5,78.0,16.9,14.0,0,3.6,0.0,9.5,19.1,281,989.4,41
2025-10-27 15:00:00,2025-10-27,15,376.0,305.5,70.5,17.2,13.9,0,1.2,0.0,9.7,18.7,274,989.0,34
2025-10-27 16:00:00,2025-10-27,16,238.0,178.8,59.2,16.8,13.2,0,0.8,0.0,10.4,19.4,284,988.5,34
2025-10-27 17:00:00,2025-10-27,17,86.0,49.8,36.2,15.7,12.1,0,0.2,0.0,10.2,19.4,280,988.6,35
2025-10-27 18:00:00,2025-10-27,18,2.5,0.8,1.8,13.6,10.8,0,3.4,0.0,8.4,16.9,280,988.7,50
2025-10-27 19:00:00,2025-10-27,19,0.0,0.0,0.0,12.6,9.7,0,3.0,0.0,9.0,15.8,286,989.4,52
2025-10-27 20:00:00,2025-10-27,20,0.0,0.0,0.0,11.8,8.9,11,2.8,0.0,8.6,16.2,285,989.9,54
2025-10-27 21:00:00,2025-10-27,21,0.0,0.0,0.0,11.3,8.4,0,2.8,0.0,8.8,15.1,282,990.6,56
2025-10-27 22:00:00,2025-10-27,22,0.0,0.0,0.0,10.7,8.1,0,3.5,0.0,7.3,15.5,290,991.4,61
2025-10-27 23:00:00,2025-10-27,23,0.0,0.0,0.0,10.3,7.8,0,4.2,0.0,7.9,13.7,300,992.2,66
2025-10-28 00:00:00,2025-10-28,0,0.0,0.0,0.0,9.5,7.2,0,4.5,0.0,6.6,13.3,257,992.7,71
