datetime,date,hour,shortwave_radiation,direct_radiation,diffuse_radiation,temperature_2m,apparent_temperature,cloudcover,dewpoint_2m,precipitation,windspeed_10m,windgusts_10m,winddirection_10m,surface_pressure,relativehumidity_2m
2025-10-27 00:00:00,2025-10-27,0,0.0,0.0,0.0,15.4,13.3,31,10.0,0.0,14.8,29.9,313,1009.6,70
2025-10-27 01:00:00,2025-10-27,1,0.0,0.0,0.0,15.2,12.8,39,9.3,0.0,15.2,33.5,306,1009.8,68
2025-10-27 02:00:00,2025-10-27,2,0.0,0.0,0.0,14.9,12.2,22,8.8,0.0,16.1,32.8,304,1010.1,67
2025-10-27 03:00:00,2025-10-27,3,0.0,0.0,0.0,14.9,11.4,10,8.0,0.0,20.6,41.8,303,1010.1,63
2025-10-27 04:00:00,2025-10-27,4,0.0,0.0,0.0,15.0,11.6,22,7.8,0.0,19.6,46.4,311,1010.2,62
2025-10-27 05:00:00,2025-10-27,5,0.0,0.0,0.0,15.1,12.0,30,7.9,0.0,17.6,39.6,313,1010.8,62
2025-10-27 06:00:00,2025-10-27,6,0.0,0.0,0.0,15.1,12.2,35,8.3,0.0,16.6,36.0,311,1011.2,64
2025-10-27 07:00:00,2025-10-27,7,1.0,0.0,1.0,15.0,12.4,73,8.0,0.0,14.0,33.8,314,1012.1,63
2025-10-27 08:00:00,2025-10-27,8,67.0,24.0,43.0,15.7,13.3,66,8.9,0.0,14.8,31.0,313,1012.4,64
2025-10-27 09:00:00,2025-10-27,9,223.0,122.0,101.0,17.3,14.0,33,8.5,0.0,20.4,42.8,316,1012.8,56
2025-10-27 10:00:00,2025-10-27,10,402.0,282.0,120.0,18.6,14.1,44,8.3,0.0,28.0,60.5,315,1012.5,51
2025-10-27 11:00:00,2025-10-27,11,513.0,357.0,156.0,19.4,15.0,45,9.3,0.0,28.8,63.4,314,1012.9,52
2025-10-27 12:00:00,2025-10-27,12,564.0,381.0,183.0,19.7,14.9,49,9.0,0.0,31.1,67.7,311,1012.6,50
2025-10-27 13:00:00,2025-10-27,13,577.0,408.0,169.0,20.0,15.0,45,9.3,0.0,33.9,74.2,314,1012.0,50
2025-10-27 14:00:00,2025-10-27,14,540.0,387.0,153.0,20.1,14.5,35,8.7,0.0,35.9,79.6,314,1011.8,48
2025-10-27 15:00:00,2025-10-27,15,440.0,321.0,119.0,19.9,14.4,36,8.9,0.0,35.9,80.6,315,1012.0,49
2025-10-27 16:00:00,2025-10-27,16,297.0,219.0,78.0,19.6,14.4,48,8.6,0.0,33.1,78.5,315,1012.1,49
2025-10-27 17:00:00,2025-10-27,17,115.0,58.0,57.0,18.9,14.7,98,8.9,0.0,27.0,71.3,313,1011.9,52
2025-10-27 18:00:00,2025-10-27,18,8.0,1.0,7.0,18.4,15.3,98,9.8,0.0,21.2,56.5,310,1012.6,57
2025-10-27 19:00:00,2025-10-27,19,0.0,0.0,0.0,17.9,15.3,9,9.8,0.0,17.6,43.6,314,1013.4,59
2025-10-27 20:00:00,2025-10-27,20,0.0,0.0,0.0,17.4,14.7,0,10.1,0.0,18.9,39.2,305,1013.3,62
2025-10-27 21:00:00,2025-10-27,21,0.0,0.0,0.0,17.3,14.0,23,10.5,0.0,24.1,51.1,305,1012.9,64
2025-10-27 22:00:00,2025-10-27,22,0.0,0.0,0.0,17.4,14.1,0,9.6,0.0,22.0,50.8,308,1013.1,60
2025-10-27 23:00:00,2025-10-27,23,0.0,0.0,0.0,17.3,14.6,0,9.5,0.0,18.3,45.7,306,1012.9,60
2025-10-28 00:00:00,2025-10-28,0,0.0,0.0,0.0,17.5,15.2,41,9.9,0.0,15.9,37.1,298,1012.6,61
2025-10-28 01:00:00,2025-10-28,1,0.0,0.0,0.0,17.5,15.8,100,10.7,0.0,13.7,32.4,297,1012.6,64
2025-10-28 02:00:00,2025-10-28,2,0.0,0.0,0.0,17.4,16.0,100,11.0,0.0,11.8,28.1,297,1012.5,66
2025-10-28 03:00:00,2025-10-28,3,0.0,0.0,0.0,17.2,16.5,100,11.5,0.0,8.5,23.4,306,1012.2,69
2025-10-28 04:00:00,2025-10-28,4,0.0,0.0,0.0,16.8,16.6,39,12.3,0.0,6.5,16.9,326,1012.5,75
2025-10-28 05:00:00,2025-10-28,5,0.0,0.0,0.0,16.6,15.7,31,12.4,0.0,11.7,23.0,304,1012.2,76
2025-10-28 06:00:00,2025-10-28,6,0.0,0.0,0.0,16.5,15.3,36,12.3,0.0,13.7,27.7,300,1012.3,76
2025-10-28 07:00:00,2025-10-28,7,1.0,0.0,1.0,16.7,15.7,35,12.7,0.0,13.0,28.8,304,1012.8,77
2025-10-28 08:00:00,2025-10-28,8,79.0,37.0,42.0,17.4,16.5,31,12.8,0.0,12.4,26.6,306,1014.0,74
2025-10-28 09:00:00,2025-10-28,9,233.0,145.0,88.0,19.3,18.2,31,13.0,0.0,14.4,30.6,307,1014.6,67
2025-10-28 10:00:00,2025-10-28,10,356.0,231.0,125.0,20.9,18.3,49,12.4,0.0,23.4,49.7,315,1014.6,58
2025-10-28 11:00:00,2025-10-28,11,463.0,317.0,146.0,21.8,19.1,49,12.4,0.0,23.4,50.8,315,1014.8,55
2025-10-28 12:00:00,2025-10-28,12,478.0,307.0,171.0,22.4,19.4,71,11.8,0.0,24.0,51.1,317,1014.5,51
2025-10-28 13:00:00,2025-10-28,13,488.0,305.0,183.0,22.5,19.7,43,12.2,0.0,24.0,51.8,317,1014.0,52
2025-10-28 14:00:00,2025-10-28,14,523.0,390.0,133.0,22.5,19.8,31,12.2,0.0,23.2,51.5,316,1013.7,52
2025-10-28 15:00:00,2025-10-28,15,441.0,342.0,99.0,22.2,19.8,24,12.4,0.0,21.7,49.7,317,1013.8,54
2025-10-28 16:00:00,2025-10-28,16,291.0,211.0,80.0,21.5,19.3,26,12.4,0.0,20.2,46.1,320,1014.0,56
2025-10-28 17:00:00,2025-10-28,17,119.0,69.0,50.0,20.4,18.7,21,12.7,0.0,17.9,42.8,320,1014.3,61
2025-10-28 18:00:00,2025-10-28,18,7.0,2.0,5.0,19.2,18.0,0,12.9,0.0,14.8,37.4,319,1014.8,67
2025-10-28 19:00:00,2025-10-28,19,0.0,0.0,0.0,18.2,17.2,0,13.3,0.0,13.8,29.9,321,1015.3,73
2025-10-28 20:00:00,2025-10-28,20,0.0,0.0,0.0,17.4,16.7,1,13.5,0.0,12.3,28.1,328,1015.7,78
2025-10-28 21:00:00,2025-10-28,21,0.0,0.0,0.0,16.8,16.6,0,13.6,0.0,9.9,24.8,327,1015.6,81
2025-10-28 22:00:00,2025-10-28,22,0.0,0.0,0.0,16.4,16.2,0,13.1,0.0,8.2,19.4,319,1015.7,81
2025-10-28 23:00:00,2025-10-28,23,0.0,0.0,0.0,15.7,15.6,0,13.2,0.0,7.5,15.8,325,1015.4,85
2025-10-29 00:00:00,2025-10-29,0,0.0,0.0,0.0,15.1,15.0,0,12.8,0.0,7.4,14.4,317,1015.2,86
2025-10-29 01:00:00,2025-10-29,1,0.0,0.0,0.0,14.6,14.4,0,12.5,0.0,6.9,14.4,313,1015.0,87
2025-10-29 02:00:00,2025-10-29,2,0.0,0.0,0.0,14.0,13.8,0,12.0,0.0,5.5,13.7,337,1014.6,88
2025-10-29 03:00:00,2025-10-29,3,0.0,0.0,0.0,13.2,13.0,0,11.4,0.0,4.7,10.8,4,1014.2,89
2025-10-29 04:00:00,2025-10-29,4,0.0,0.0,0.0,12.7,12.2,0,10.3,0.0,4.7,9.4,9,1014.1,85
2025-10-29 05:00:00,2025-10-29,5,0.0,0.0,0.0,12.5,11.5,0,9.1,0.0,5.4,10.1,360,1014.3,80
2025-10-29 06:00:00,2025-10-29,6,0.0,0.0,0.0,12.1,11.1,1,8.9,0.0,5.0,10.1,360,1014.3,81
2025-10-29 07:00:00,2025-10-29,7,1.0,0.0,1.0,12.1,11.0,5,8.7,0.0,5.2,9.7,12,1014.5,80
2025-10-29 08:00:00,2025-10-29,8,86.0,49.0,37.0,13.4,12.8,17,9.3,0.0,3.4,9.7,18,1014.6,76
2025-10-29 09:00:00,2025-10-29,9,254.0,186.0,68.0,16.5,16.4,40,10.4,0.0,1.9,6.8,202,1014.6,67
2025-10-29 10:00:00,2025-10-29,10,407.0,319.0,88.0,19.2,19.2,31,13.0,0.0,7.1,16.6,165,1014.8,67
2025-10-29 11:00:00,2025-10-29,11,501.0,373.0,128.0,21.5,20.3,98,13.4,0.0,15.9,34.9,155,1014.3,60
2025-10-29 12:00:00,2025-10-29,12,504.0,274.0,230.0,22.1,20.6,100,13.4,0.0,17.7,38.5,153,1013.6,58
2025-10-29 13:00:00,2025-10-29,13,531.0,321.0,210.0,22.3,21.0,72,14.2,0.0,18.4,40.0,154,1012.7,60
2025-10-29 14:00:00,2025-10-29,14,511.0,363.0,148.0,22.2,21.2,91,14.6,0.0,17.6,40.0,145,1012.1,62
2025-10-29 15:00:00,2025-10-29,15,393.0,244.0,149.0,21.9,21.3,97,15.5,0.0,17.1,38.2,141,1011.6,67
2025-10-29 16:00:00,2025-10-29,16,168.0,26.0,142.0,21.3,21.3,100,16.3,0.0,15.1,36.7,142,1011.5,73
2025-10-29 17:00:00,2025-10-29,17,45.0,1.0,44.0,20.9,21.4,100,16.5,0.0,12.3,32.0,142,1011.3,76
2025-10-29 18:00:00,2025-10-29,18,3.0,0.0,3.0,20.6,21.7,100,16.8,0.0,8.9,25.2,137,1011.3,79
2025-10-29 19:00:00,2025-10-29,19,0.0,0.0,0.0,20.5,21.9,100,17.1,0.0,7.9,18.0,120,1011.4,81
2025-10-29 20:00:00,2025-10-29,20,0.0,0.0,0.0,20.4,21.7,100,16.7,0.0,7.3,15.8,110,1011.4,79
2025-10-29 21:00:00,2025-10-29,21,0.0,0.0,0.0,20.2,21.8,100,16.5,0.0,5.2,14.0,115,1011.5,79
2025-10-29 22:00:00,2025-10-29,22,0.0,0.0,0.0,19.9,21.8,100,16.8,0.0,3.6,9.7,96,1011.7,82
2025-10-29 23:00:00,2025-10-29,23,0.0,0.0,0.0,20.0,21.2,100,16.6,0.0,7.6,16.6,93,1010.5,81
2025-10-30 00:00:00,2025-10-30,0,0.0,0.0,0.0,20.1,22.4,100,17.5,0.0,2.9,15.1,150,1010.6,85
2025-10-30 01:00:00,2025-10-30,1,0.0,0.0,0.0,19.6,21.9,100,17.4,0.0,2.6,5.0,56,1010.3,87
2025-10-30 02:00:00,2025-10-30,2,0.0,0.0,0.0,18.9,20.7,100,16.7,0.0,4.0,6.8,27,1010.1,87
2025-10-30 03:00:00,2025-10-30,3,0.0,0.0,0.0,17.8,19.2,100,16.0,0.0,4.3,9.4,360,1009.7,89
2025-10-30 04:00:00,2025-10-30,4,0.0,0.0,0.0,17.1,18.2,97,15.1,0.0,4.1,9.0,15,1009.5,88
2025-10-30 05:00:00,2025-10-30,5,0.0,0.0,0.0,16.7,17.5,99,14.2,0.0,4.3,9.0,5,1009.4,85
2025-10-30 06:00:00,2025-10-30,6,0.0,0.0,0.0,16.2,16.8,100,13.5,0.0,4.3,9.7,355,1009.6,84
2025-10-30 07:00:00,2025-10-30,7,1.0,0.0,1.0,16.1,16.4,98,12.8,0.0,4.3,9.0,5,1009.3,81
2025-10-30 08:00:00,2025-10-30,8,67.0,17.0,50.0,16.9,17.3,100,13.0,0.0,3.7,9.0,349,1009.7,78
2025-10-30 09:00:00,2025-10-30,9,203.0,90.0,113.0,19.3,20.3,100,14.0,0.0,2.6,7.9,326,1010.1,71
2025-10-30 10:00:00,2025-10-30,10,349.0,208.0,141.0,21.9,22.6,98,12.7,0.0,1.1,7.2,90,1010.4,56
2025-10-30 11:00:00,2025-10-30,11,428.0,231.0,197.0,23.5,23.8,91,13.1,0.0,4.9,12.2,144,1010.7,52
2025-10-30 12:00:00,2025-10-30,12,463.0,241.0,222.0,24.3,24.4,97,13.5,0.0,7.3,17.6,147,1010.2,51
2025-10-30 13:00:00,2025-10-30,13,445.0,226.0,219.0,24.5,24.8,87,14.0,0.0,7.5,17.3,163,1009.8,52
2025-10-30 14:00:00,2025-10-30,14,398.0,203.0,195.0,24.5,24.9,91,14.9,0.0,8.8,18.7,161,1009.4,55
2025-10-30 15:00:00,2025-10-30,15,319.0,167.0,152.0,24.1,24.9,95,16.2,0.0,9.2,19.1,159,1008.9,61
2025-10-30 16:00:00,2025-10-30,16,212.0,109.0,103.0,23.6,24.9,99,16.9,0.0,8.4,18.4,155,1008.8,66
2025-10-30 17:00:00,2025-10-30,17,90.0,40.0,50.0,23.0,24.9,99,17.5,0.0,5.6,16.2,140,1009.2,71
2025-10-30 18:00:00,2025-10-30,18,12.0,4.0,8.0,22.3,24.7,100,17.9,0.0,3.2,12.6,90,1009.8,76
2025-10-30 19:00:00,2025-10-30,19,0.0,0.0,0.0,21.6,24.0,100,18.0,0.0,3.9,10.4,34,1010.5,80
2025-10-30 20:00:00,2025-10-30,20,0.0,0.0,0.0,21.2,23.6,100,18.2,0.0,4.0,10.4,360,1011.0,83
2025-10-30 21:00:00,2025-10-30,21,0.0,0.0,0.0,20.9,23.3,100,18.3,0.0,4.1,11.2,322,1011.5,85
2025-10-30 22:00:00,2025-10-30,22,0.0,0.0,0.0,20.6,22.9,100,18.4,0.0,5.2,12.2,304,1011.9,87
2025-10-30 23:00:00,2025-10-30,23,0.0,0.0,0.0,20.3,22.6,100,18.3,0.0,5.4,13.0,312,1012.2,88
2025-10-31 00:00:00,2025-10-31,0,0.0,0.0,0.0,20.1,22.2,100,18.0,0.0,5.8,14.0,330,1012.3,88
2025-10-31 01:00:00,2025-10-31,1,0.0,0.0,0.0,19.8,21.9,100,18.0,0.0,6.2,14.4,339,1012.4,89
2025-10-31 02:00:00,2025-10-31,2,0.0,0.0,0.0,19.5,21.5,99,18.0,0.0,6.0,13.3,335,1012.4,91
2025-10-31 03:00:00,2025-10-31,3,0.0,0.0,0.0,19.1,21.2,97,18.1,0.0,5.6,11.9,320,1012.2,94
2025-10-31 04:00:00,2025-10-31,4,0.0,0.0,0.0,18.8,20.8,96,18.0,0.0,5.9,11.2,313,1012.2,95
2025-10-31 05:00:00,2025-10-31,5,0.0,0.0,0.0,18.5,20.3,92,17.7,0.0,6.4,12.2,313,1012.3,95
2025-10-31 06:00:00,2025-10-31,6,0.0,0.0,0.0,18.2,19.7,88,17.1,0.0,7.4,14.4,317,1012.6,93
