datetime,date,hour,shortwave_radiation,direct_radiation,diffuse_radiation,temperature_2m,apparent_temperature,cloudcover,dewpoint_2m,precipitation,windspeed_10m,windgusts_10m,winddirection_10m,surface_pressure,relativehumidity_2m
2025-10-27 00:00:00,2025-10-27,0,0.0,0.0,0.0,16.8,15.8,96,12.3,0.3,11.6,31.7,240,1006.3,75
2025-10-27 01:00:00,2025-10-27,1,0.0,0.0,0.0,16.8,16.6,100,13.9,0.0,10.1,28.8,215,1006.0,83
2025-10-27 02:00:00,2025-10-27,2,0.0,0.0,0.0,17.3,16.8,64,12.6,0.0,9.3,24.8,257,1006.3,74
2025-10-27 03:00:00,2025-10-27,3,0.0,0.0,0.0,17.2,16.4,66,12.5,0.0,10.3,26.6,258,1006.2,74
2025-10-27 04:00:00,2025-10-27,4,0.0,0.0,0.0,16.9,16.1,63,11.8,0.0,9.7,26.6,255,1006.4,72
2025-10-27 05:00:00,2025-10-27,5,0.0,0.0,0.0,16.9,15.8,59,10.7,0.0,8.9,27.0,249,1006.4,67
2025-10-27 06:00:00,2025-10-27,6,0.0,0.0,0.0,16.6,15.6,47,11.1,0.0,8.7,21.2,240,1006.7,70
2025-10-27 07:00:00,2025-10-27,7,10.0,2.0,8.0,16.2,15.4,45,10.5,0.0,6.1,22.0,225,1007.1,69
2025-10-27 08:00:00,2025-10-27,8,116.0,53.0,63.0,17.0,16.6,52,10.8,0.0,4.5,15.5,209,1007.5,67
2025-10-27 09:00:00,2025-10-27,9,260.0,154.0,106.0,18.1,18.0,44,11.2,0.0,3.2,11.2,180,1008.1,64
2025-10-27 10:00:00,2025-10-27,10,406.0,286.0,120.0,19.1,19.0,55,11.6,0.0,3.6,11.5,276,1008.4,62
2025-10-27 11:00:00,2025-10-27,11,472.0,329.0,143.0,19.7,18.9,66,11.4,0.0,8.6,22.7,303,1009.2,59
2025-10-27 12:00:00,2025-10-27,12,505.0,346.0,159.0,19.9,18.9,41,11.4,0.0,10.2,26.3,288,1008.7,58
2025-10-27 13:00:00,2025-10-27,13,533.0,378.0,155.0,20.2,18.5,21,10.3,0.0,12.6,31.3,272,1008.6,53
2025-10-27 14:00:00,2025-10-27,14,505.0,396.0,109.0,20.0,17.5,4,9.8,0.0,16.7,41.0,277,1008.7,52
2025-10-27 15:00:00,2025-10-27,15,371.0,279.0,92.0,19.7,17.2,46,9.6,0.0,16.6,41.0,272,1009.0,52
2025-10-27 16:00:00,2025-10-27,16,185.0,97.0,88.0,19.3,17.1,72,10.3,0.0,15.3,40.0,261,1008.9,56
2025-10-27 17:00:00,2025-10-27,17,47.0,14.0,33.0,18.5,17.0,61,10.6,0.0,11.4,36.7,246,1008.8,60
2025-10-27 18:00:00,2025-10-27,18,0.0,0.0,0.0,18.1,17.1,100,11.7,0.0,10.5,26.6,239,1009.0,66
2025-10-27 19:00:00,2025-10-27,19,0.0,0.0,0.0,18.2,17.9,95,12.6,0.0,7.8,25.2,236,1009.0,70
2025-10-27 20:00:00,2025-10-27,20,0.0,0.0,0.0,18.5,17.9,86,13.1,0.0,10.4,27.0,226,1008.8,71
2025-10-27 21:00:00,2025-10-27,21,0.0,0.0,0.0,18.8,18.0,74,13.4,0.0,13.3,33.1,251,1008.9,71
2025-10-27 22:00:00,2025-10-27,22,0.0,0.0,0.0,18.7,18.1,71,13.4,0.0,11.6,32.0,248,1008.7,71
2025-10-27 23:00:00,2025-10-27,23,0.0,0.0,0.0,18.6,18.3,59,13.8,0.0,10.2,28.8,238,1008.9,74
2025-10-28 00:00:00,2025-10-28,0,0.0,0.0,0.0,18.4,18.7,64,13.9,0.0,6.4,27.0,218,1008.7,75
2025-10-28 01:00:00,2025-10-28,1,0.0,0.0,0.0,18.1,18.4,38,13.8,0.0,5.9,15.8,218,1008.8,76
2025-10-28 02:00:00,2025-10-28,2,0.0,0.0,0.0,17.7,18.4,25,14.2,0.0,4.0,14.4,207,1008.8,80
2025-10-28 03:00:00,2025-10-28,3,0.0,0.0,0.0,17.3,18.2,38,14.2,0.0,3.2,9.4,207,1008.8,82
2025-10-28 04:00:00,2025-10-28,4,0.0,0.0,0.0,16.9,17.9,24,13.8,0.0,1.6,6.5,207,1009.0,82
