zone,scenario,mae_mw,rmse_mw,r2
IT-NORD,forecast_weather,396.93040144340404,767.2771088259444,0.7032142568914144
IT-NORD,actual_weather,353.63088168355307,709.5319432647315,0.7462053539910509
IT-CNOR,forecast_weather,72.32336339172686,142.2694525410982,0.7895965571788213
IT-CNOR,actual_weather,57.61465572038045,117.18850767887253,0.8572422912731508
IT-CSUD,forecast_weather,424.1925279268119,786.9952574704978,0.36348937333017606
IT-CSUD,actual_weather,342.4487365027734,634.6190312891762,0.5861074475666066
IT-SUD,forecast_weather,165.32561555357674,332.38251759597387,0.7930744961406739
IT-SUD,actual_weather,129.8531279033183,252.51925101780392,0.8805663622551302
IT-SICI,forecast_weather,102.81057484257701,185.49377073703542,0.36803556937363646
IT-SICI,actual_weather,100.23613225754261,179.5041008744469,0.40818941948656096
IT-SARD,forecast_weather,139.13023619093167,255.26438734674156,0.6107398631808505
IT-SARD,actual_weather,147.62952207954046,270.0438324766605,0.564359750629949
IT-CALA,forecast_weather,22.315672996504944,47.068245619557075,0.7839502513211687
IT-CALA,actual_weather,13.90824847922084,26.45284004466012,0.9317594756946601
